playerid,yearid,teamid,ab
barrebi02,1927,CHA,556
barreji01,1900,CIN,545
barreji01,1901,DET,542
barreji01,1902,DET,509
barreji01,1903,DET,517
barreji01,1904,DET,624
barrejo01,1944,PIT,568
barrejo01,1945,PIT,507
barrema02,1985,BOS,534
barrema02,1986,BOS,625
barrema02,1987,BOS,559
barrema02,1988,BOS,612
barrysh01,1902,PHI,543
barrysh01,1903,PHI,550
bartedi01,1929,PIT,610
bartedi01,1931,PHI,554
bartedi01,1932,PHI,614
bartedi01,1933,PHI,587
bartedi01,1934,PHI,604
bartedi01,1935,NY1,539
bartedi01,1936,NY1,510
bartedi01,1937,NY1,516
bartedi01,1940,DET,528
bartlja01,2007,MIN,510
bartlja01,2011,SDN,554
bartoda02,2010,OAK,556
bassech01,1891,NY1,524
basske01,1985,HOU,539
basske01,1986,HOU,591
basske01,1987,HOU,592
basske01,1988,HOU,541
batchem01,1905,BRO,568
batemjo01,1970,MON,520
batesjo02,1906,BSN,504
batesjo02,1911,CIN,518
batisto01,2000,TOR,620
batisto01,2002,BAL,615
batisto01,2003,BAL,631
batisto01,2004,MON,606
batteea01,1962,MIN,522
batteea01,1963,MIN,508
bauerha01,1952,NYA,553
bauerha01,1956,NYA,539
baumhfr01,1947,CIN,643
baumhfr01,1951,CHN,560
baumhfr01,1953,CHN,520
bautida01,2004,ARI,539
bautijo02,2007,PIT,532
bautijo02,2010,TOR,569
bautijo02,2011,TOR,513
bautijo02,2014,TOR,553
bautijo02,2015,TOR,543
bautijo02,2017,TOR,587
bayha01,1903,CLE,579
bayha01,1904,CLE,506
bayha01,1905,CLE,552
bayja01,2005,PIT,599
bayja01,2006,PIT,570
bayja01,2007,PIT,538
bayja01,2009,BOS,531
baylodo01,1975,BAL,524
baylodo01,1976,OAK,595
baylodo01,1977,CAL,561
baylodo01,1978,CAL,591
baylodo01,1979,CAL,628
baylodo01,1982,CAL,608
baylodo01,1983,NYA,534
baylodo01,1986,BOS,585
beardol01,1889,CN2,558
beaumgi01,1900,PIT,567
