time,id,value
2018-06-07 10:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65091.86
2018-06-07 10:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65091.98
2018-06-07 10:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65092.11
2018-06-07 11:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65092.24
2018-06-07 11:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65092.36
2018-06-07 11:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65092.48
2018-06-07 11:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65092.6
2018-06-07 12:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65092.72
2018-06-07 12:15:10+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65092.85
2018-06-07 12:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65092.98
2018-06-07 12:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65093.1
2018-06-07 13:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65093.22
2018-06-07 13:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65093.34
2018-06-07 13:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65093.48
2018-06-07 13:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65093.6
2018-06-07 14:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65093.72
2018-06-07 14:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65093.84
2018-06-07 14:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65093.96
2018-06-07 14:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65094.09
2018-06-07 15:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65094.21
2018-06-07 15:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65094.35
2018-06-07 15:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65094.48
2018-06-07 15:45:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65094.59
2018-06-07 16:00:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65094.73
2018-06-07 16:15:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65094.91
2018-06-07 16:30:09+00:00,a3d3326f-20ab-5f1d-97c7-f3084df43f06,65095.09
